tic_id,toi,disposition,epoch_bjd,period/days,duration/hours,depth,planet_radius,stellar_radius,stteff,logg,tess_mag,prob_planet,rank
421006834,6940.01,PC,2460285.534539,0.3052608,0.309,1620.0,2.03448,0.37,3338.0,4.85,12.5437,0.6866041483750696,2021
198178505,2270.01,PC,2458962.984125,4.088721700000001,4.6288711,261.9656428,2.7599934,1.61077,6380.43,4.1278,7.7293,0.6865570747664334,2022
195256633,3150.01,PC,2459357.83131,5.3430663,5.101,7220.0,21.0355,2.15,7822.0,4.04,12.0697,0.6863127975216284,2023
160512852,7331.01,PC,2460573.21256,6.0011971,1.99,23249.0,14.9116,1.02,5265.0,4.37,13.1678,0.6860851562659224,2024
143724857,4809.01,PC,2459964.285192,4.4722598,4.0659641,3606.5417294,9.0734924,1.4818799,6211.0,4.18,12.6417,0.6853014184477643,2025
364431259,3445.01,PC,2459382.37766,2.9866836,2.681,14000.0,15.0254,1.24,4790.0,4.14,12.8311,0.684891644951497,2026
153896150,4123.01,PC,2460314.561034,2.787945,1.5084757,3211.467356,7.5851475,0.847241,5375.0,4.55,11.8522,0.6847080290003298,2027
346673534,4084.01,PC,2459751.832931,15.634183,2.888,12980.0,11.238,0.96,5725.0,4.49,12.8934,0.6846188122595938,2028
1870990135,3514.01,PC,2459445.482548,1.5039495,1.857,25120.0,17.3816,0.95,5623.0,4.54,12.8953,0.6844084553545828,2029
221656234,5015.01,PC,2459384.648481,2.4533968,3.425,8790.0,16.1215,1.7,6333.0,4.07,12.491,0.6843714095724172,2030
47094691,3638.01,PC,2459450.529162,4.9276886,1.7461195,13381.8682851,21.6677618,1.1462801,5263.0,4.27,12.5931,0.6842892517371653,2031
356867115,1301.02,PC,2458999.462385,4.088721700000001,8.0555709,2143.3712267,4.258255,0.731699,4820.4,4.6,10.5216,0.6841308366518452,2032
356590734,1951.01,PC,2459362.084735,4.829406,2.6761872,8222.9837003,19.9103402,1.95583,5877.5,4.18,9.8722,0.6839785695855187,2033
229111835,302.01,PC,2458356.68237,6.70145,1.579,10940.0,8.15246,0.74,4130.0,4.51,12.9317,0.6835575418817394,2034
438519486,5403.01,PC,2459533.44912,12.8355591,1.805,12450.0,11.2388,0.95,5311.7,4.45,12.5648,0.683188872030354,2035
241297273,6593.01,PC,2460056.002371,8.4325164,1.731,8796.0,9.45527,0.98,5300.0,4.41,12.925,0.6829733739419782,2036
197808753,6853.01,PC,2460189.688644,10.636983,5.378,2913.0,8.16912,1.65,6297.0,4.1,12.5478,0.6819185543672474,2037
409594381,4214.01,PC,2459248.541475,3.491383,2.999,4650.0,11.154,1.59,5936.5,4.28,11.0071,0.6808290501743622,2038
352239069,1404.01,PC,2459908.512546,6.8674054,3.488,779.0,2.4024,1.03,6051.5,4.48,10.9425,0.6805522278964529,2039
383721338,4553.01,PC,2459422.817477,20.3129649,7.1852402,5194.3258042,10.8026737,1.4658999,6490.0,4.23,10.4895,0.680524600205004,2040
445795465,5773.01,PC,2459767.6163,2.7404478,3.422,5340.0,12.6696,1.74,5390.0,3.93,12.4443,0.6795058580254034,2041
332017079,4945.01,PC,2459357.969995,1.6500255,2.937,14270.0,18.0511,1.15,6449.0,4.44,13.184,0.6793979518472866,2042
283015592,4000.01,PC,2459879.948933,3.7027104,3.572,12813.0,21.058,1.9,7493.0,4.12,12.5696,0.6793775508029446,2043
7562528,6452.01,PC,2459987.078877,5.2477739,3.138,6694.0,8.53362,1.1,5647.0,4.36,12.8743,0.6792965730304336,2044
3027681,3723.01,PC,2459544.669393,3.9442027,3.269,13590.0,14.6517,1.22,6518.1,4.39,13.3025,0.6787125409282286,2045
154741689,2170.01,PC,2460469.2444,9.2786686,4.577,527.0,2.23168,1.12,6018.0,4.39,10.4679,0.6783300828908165,2046
420049884,462.01,PC,2458414.822983,4.1074291,3.0844055,900.9217753,3.971632,1.30055,5205.0,4.45924,10.6573,0.6779695924762399,2047
409207712,4784.01,PC,2459246.338861,3.3583921,2.644,9170.0,8.84831,0.91,5177.0,4.46,13.2701,0.6765867371142741,2048
197039766,6908.01,PC,2460288.919876,3.7120776,3.0734816,1532.3995669,5.11821,1.29268,5501.09,4.19961,11.2167,0.6744730412360322,2049
308778563,6285.01,PC,2459908.497832,6.8581311,5.186,2790.0,10.9703,2.12,6605.0,3.92,10.6006,0.6735756399719227,2050
434260570,2455.01,PC,2459177.19495,4.720489,1.8316316,47110.570638,14.6186346,0.489916,3553.0,4.74625,12.986,0.673470285958598,2051
232603560,4108.01,PC,2459762.974572,14.4348737,6.023,1640.0,8.117,1.93,5834.0,3.89,11.9824,0.6728861822405877,2052
251594291,6378.01,PC,2459916.231219,12.9589981,3.683,16753.0,11.9733,0.94,5925.0,4.52,13.4948,0.6725650418594203,2053
232025086,874.01,PC,2458439.488994,5.9049733,3.9528744,200.4796961,2.2395287,1.4178801,6437.0,4.2473,8.7542,0.6725325832147336,2054
4959676,3350.01,PC,2459988.846054,2.2358979,1.588,610.0,3.28794,0.9,4793.8,4.42,10.6418,0.6725284443257975,2055
219803922,7025.01,PC,2460340.028469,66.9954225,2.024,5477.0,11.7213,1.51,6078.0,4.14,11.3683,0.6720216885044927,2056
35285308,5509.01,PC,2459572.855698,5.7656076,2.955,6750.0,9.12778,1.08,5638.4,4.37,12.5879,0.6718028520044226,2057
303030789,6511.01,PC,2460001.825924,21.5962209,4.511,9216.0,9.42089,1.09,6012.0,4.41,12.7121,0.6702688106326393,2058
58372253,5328.01,PC,2459519.397889,5.4886518,6.921,4580.0,17.6429,2.54,6119.8,3.69,11.2303,0.6702030167806665,2059
201660996,3283.01,PC,2459055.629482,3.502221,2.911,13290.0,14.1347,1.21,5983.0,4.31,12.4005,0.6697892330867518,2060
620780629,3620.01,PC,2459875.808716,4.8893985,2.848,6907.0,12.8723,1.62,5639.0,4.02,12.8069,0.6697486811194252,2061
160255140,7292.01,PC,2460564.802348,10.641726,3.708,10160.0,11.6462,1.17,5945.0,4.34,13.4003,0.6686077288164057,2062
5966772,6698.01,PC,2459331.091898,4.088721700000001,3.6676275,1168.7878058,2.6737151,0.750312,4677.0,4.56264,10.4795,0.6684130017890103,2063
234489133,2572.01,PC,2459247.433122,3.5985851,4.015,6710.0,11.8109,1.45,6303.0,4.21,13.258,0.6682491281503754,2064
233529335,4585.01,PC,2458915.989125,4.088721700000001,12.8976378,384.7552746,2.5653805,1.2886699,6000.0,5.03448,9.64656,0.6681198037806669,2065
230980206,2649.01,PC,2458377.753706,3.375591,3.489,11630.0,13.2361,1.22,6408.0,4.38,12.4752,0.667527096813159,2066
463343283,3062.01,PC,2460015.137099,4.865928,5.323532,10758.3826821,15.177757,1.21215,6137.0,4.34,13.5173,0.667464680244686,2067
315096343,2978.01,PC,2459275.540633,4.3497551,3.704,1710.0,7.82395,1.88,5667.3,4.35,11.6687,0.6672153594744356,2068
445392860,4988.01,PC,2459990.471484,2.3696548,1.8925768,46129.4275972,21.171114,0.697237,3986.0,4.57,14.881,0.6661914450491208,2069
